KODE	NAMA BAHAN	SUMBER	AIR (g)	ENERGI (Kal)	PROTEIN (g)	LEMAK (g)	KH (g)	SERAT (g)	ABU (g)	KALSIUM (mg)	FOSFOR (mg)	BESI (mg)	NATRIUM (mg)	KALIUM (mg)	TEMBAGA (mg)	SENG (mg)	RETINOL (mcg)	B-KAR (mcg)	KAR-TOTAL (mcg)	THIAMIN (mg)	RIBOFLAVIN (mg)	NIASIN (mg)	VIT-C (mg)	BDD (%)	KATEGORI	HARGA	MIKRO_TAGS
ER101	Salak, segar	DABM-1964	78.0	77	0.4	0.0	20.9	0.0	0.7	28	18	4.2	0	0.0	0.1	0.2	0	4	0	0.04	0.0	0.0	2	93	Buah	murah	
ER012	Buah Naga Merah, segar	BKP	85.7	71	1.7	3.1	9.1	3.2	0.4	13	14	0.4	10	128.0	0.0	0.4	0	0	0	0.5	0.3	0.5	1	66	Buah	sedang	
ER052	Lemon, segar	KZGMI-2001	92.2	34	0.5	0.8	6.2	0.1	0.3	23	20	0.3	31	140.0	0.1	0.2	0	0	0	0.09	0.12	0.3	50	100	Buah	mahal	Sumber Vitamin C
ER064	Manggis, segar	DABM-1964	83.0	63	0.6	0.6	15.6	1.5	0.2	8	12	0.8	10	61.9	0.1	0.1	0	0	0	0.03	0.03	0.3	5	29	Buah	sedang	
ER003	Apel malang, segar	KZGPI- 1990	85.9	57	0.5	0.4	12.8	0.8	0.3	9	18	0.6	4	175.4	110.2	0.0	0	26	2240	0.05	0.03	0.1	5	88	Buah	sedang	
DR038	Daun kelor, segar	KZGMI-2001	75.5	92	5.1	1.6	14.3	8.2	3.5	1077	76	6.0	61	298.0	0.1	0.6	0	3266	0	0.3	0.1	4.2	22	65	Sayur	murah	Sumber Zat Besi|Sumber Kalsium|Sumber Vitamin A|Sumber Vitamin E (estimasi)|Sumber Omega-3 (estimasi)
DR071	Daun singkong, segar	KZGPI-1990	84.4	50	6.2	1.1	7.1	2.4	1.2	166	99	1.3	17	23.1	0.1	2.0	0	3204	7052	0.04	0.1	1.8	103	87	Sayur	murah	Sumber Kalsium|Sumber Vitamin A|Sumber Vitamin C|Sumber Vitamin E (estimasi)
DR008	Bayam, segar	KZGPI-1990	94.5	16	0.9	0.4	2.9	0.7	1.3	166	76	3.5	16	456.4	0.13	0.4	0	2699	2293	0.04	0.1	1.0	41	71	Sayur	murah	Sumber Zat Besi|Sumber Kalsium|Sumber Vitamin A|Sumber Vitamin E (estimasi)|Sumber Omega-3 (estimasi)
DR044	Daun kubis, segar	KZGMI-2001	86.2	51	2.5	1.1	8.0	3.4	2.2	100	50	3.4	50	100.0	0.9	0.6	0	9999	0	0.4	0.1	0.2	16	75	Sayur	murah	
DR141	Sawi, segar	DABM-1964	92.2	28	2.3	0.3	4.0	2.5	1.2	220	38	2.9	22	436.5	0.12	0.2	0	2042	6460	0.09	0.23	0.7	102	87	Sayur	murah	Sumber Kalsium|Sumber Vitamin A|Sumber Vitamin C|Sumber Vitamin E (estimasi)|Sumber Omega-3 (estimasi)
DR123	Labu siam, segar	DABM-1964	92.3	30	0.6	0.1	6.7	6.2	0.3	14	25	0.5	3	167.1	0.16	1.0	0	48	20	0.02	0.0	0.6	18	83	Sayur	murah	
DR161	Tomat merah, segar	KZGPI-1990	92.9	24	1.3	0.5	4.7	1.5	0.6	8	77	0.6	10	164.9	0.14	0.2	0	575	2083	0.06	0.07	0.4	34	100	Sayur	murah	
DR166	Wortel, segar	KZGPI-1990	89.9	36	1.0	0.6	7.9	1.0	0.6	45	74	1.0	70	245.0	0.06	0.3	0	3784	7125	0.04	0.04	1.0	18	80	Sayur	murah	Sumber Vitamin A
DR097	Kacang panjang, segar	KZGMI-2001	91.8	31	2.3	0.1	5.3	2.7	0.5	60	64	0.6	30	213.0	0.1	0.5	0	125	0	0.7	0.1	0.3	46	92	Sayur	murah	Sumber Vitamin C|Sumber Vitamin E (estimasi)
DR013	Buncis, segar	KZGPI-1990	89.6	34	2.4	0.3	7.2	1.9	0.5	101	42	0.7	8	250.0	0.07	0.3	0	772	550	0.05	0.4	2.8	11	90	Sayur	murah	Sumber Vitamin E (estimasi)
DR113	Kool kembang	DABM-1964	91.7	25	2.4	0.2	4.9	1.6	0.8	22	72	1.1	47	187.0	0.04	0.3	0	24	90	0.11	0.09	0.6	69	57	Sayur	murah	Sumber Vitamin C
